1,32194
2,32953
3,32868
4,32771
5,32490
6,32023
7,32584
8,33147
9,32319
10,32781
11,32245
12,32790
13,33314
14,34246
15,31808
16,32775
17,33386
18,32467
19,32284
20,32529
21,31973
22,32985
23,32022
24,32444
25,31486
26,32094
27,31833
28,33134
29,33047
30,32201
31,32940
32,35531
33,32635
34,32991
35,34447
36,31885
37,33196
38,33104
39,33276
40,33086
41,32545
42,32378
43,32187
44,32372
45,32909
46,33044
47,32993
48,32394
49,32444
50,31848
51,31699
52,32681
53,35109
54,32396
55,32878
56,31882
57,33465
58,35778
59,33249
60,33274
61,32045
62,31975
63,35302
64,32117
65,34382
66,33265
67,32487
68,33606
69,34209
70,32907
71,34775
72,32231
73,32001
74,32213
75,34219
76,31882
77,32246
78,34214
79,32388
80,32419
81,31835
82,32775
83,31860
84,32731
85,34546
86,31881
87,32681
88,32684
89,32576
90,32961
91,34327
92,33095
93,33149
94,32665
95,33383
96,33235
97,33335
98,35050
99,32562
100,34099
101,31876
102,32372
103,32850
104,31687
105,32523
106,31835
107,32821
108,32704
109,32660
110,32160
111,30558
112,33269
113,33622
114,32416
115,34245
116,32007
117,33091
118,33063
119,33148
120,32406
121,31991
122,34641
123,31960
124,31599
125,31867
126,31455
127,31652
128,34750
129,32954
130,32240
131,35905
132,34839
133,35333
134,32250
135,32048
136,31982
137,33001
138,33039
139,32198
140,32861
141,32021
142,33564
143,33161
144,32517
145,31997
146,31562
147,34014
148,31889
149,32054
150,31679
151,32984
152,32501
153,32633
154,32990
155,34173
156,32756
157,32041
158,34418
159,32958
160,32544
161,35362
162,31693
163,32078
164,32704
165,32762
166,32960
167,32810
168,32255
169,32440
170,32822
171,32263
172,32027
173,32104
174,31896
175,35283
176,34215
177,30066
178,30845
179,32308
180,32367
181,32067
182,32821
183,32333
184,32579
185,32781
186,32696
187,32357
188,32127
189,32840
190,35156
191,34051
192,32549
193,32792
194,32835
195,32606
196,32387
197,32162
198,32914
199,31623
200,33399
201,32572
202,32286
203,33335
204,34986
205,32559
206,33628
207,30473
208,33222
209,32700
210,31996
211,32955
212,32938
213,35748
214,32686
215,32509
216,31896
217,31841
218,32970
219,31969
220,31671
221,31619
222,35362
223,33312
224,31529
225,32157
226,33422
227,32099
228,31970
229,33709
230,32775
231,33114
232,33082
233,33018
234,32351
235,32382
236,32919
237,33154
238,32845
239,33190
240,32544
241,31363
242,32964
243,32912
244,32779
245,34577
246,33107
247,32921
248,33131
249,33161
250,33019
251,33278
252,33152
253,30743
254,35001
255,32621
256,32744
257,32404
258,32730
259,32546
260,32625
261,32249
262,32482
263,31949
264,34250
265,32824
266,32978
267,31924
268,33322
269,35000
270,33549
271,33237
272,31832
273,32357
274,32867
275,31881
276,33307
277,34186
278,31871
279,32631
280,32999
281,32613
282,33240
283,32188
284,32669
285,32899
286,32419
287,33570
288,33007
289,31681
290,32918
291,33202
292,31961
293,32836
294,32557
295,32542
296,32699
297,32082
298,34339
299,32696
300,32832
